"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2024-127407","特願2023-036547","2023/03/09","2024/09/20","カメラ装置、システム、及びプログラム","ｉ－ＰＲＯ株式会社","B25J13/08@A,H04N23/61","(57)【要約】
【課題】作業機械のスループットの低下を抑制しつつ、作業機械を目標位置に到達させるための情報を提供可能なカメラ装置を提供する。
【解決手段】カメラ装置は、作業機械の目標位置を含む撮像領域を撮像する撮像部と、撮像部に撮像させた画像に基づいて、目標位置を特定する制御部とを備える。制御部は、作業機械が移動開始位置から初期目標位置に移動する過程の複数の撮像位置それぞれにおいて、撮像部に撮像領域を撮像させる撮像処理と、撮像領域の画像から目標位置を特定する学習モデルに撮像処理で撮像した画像を入力して、目標位置を示す目標座標及び目標座標の確からしさを表す評価値を出力する出力処理とを実行する。
【選択図】図４
","特開2024-127407","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-127407/11/ja"
"特開2024-117307","特願2023-023339","2023/02/17","2024/08/29","制御システム、制御方法、及び、プログラム","トヨタ自動車株式会社","B25J5/00@A,B25J5/00@E,G05D1/02@H,G05D1/24,G05D1/241,G05D1/242,G05D1/43,G05D1/60,G05D1/622,G05D1/628,G05D1/633,G05D1/639,G05D1/693,G05D105:00,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:63","(57)【要約】
【課題】自律移動体の高速移動を実現する技術を提供する。
【解決手段】サービスロボット１は、バックドライバブルなロボットアーム３と、ロボットアーム３を支持するロボット本体４と、ロボット本体４の下部に設けられる移動台車５と、ロボットアーム３及び移動台車５を制御する制御部６と、を含む。制御部６は、移動台車５を用いたサービスロボット１の移動中にロボットアーム３に周辺物体との接触に起因する外力が作用した場合、衝突緩和制御を実行する。制御部６による制御には機械学習を用いてもよい。
【選択図】図１
","特開2024-117307","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-117307/11/ja"
"特開2024-109006","特願2023-123596","2023/07/28","2024/08/13","システム、プログラム、及び製造方法","リンクウィズ株式会社","B25J19/06,B25J9/10@A,B23K9/12,331@L","(57)【要約】      （修正有）
【課題】機械制御システム等において、作業具が、作業対象物と接触するかどうかについて判定する。
【解決手段】本発明の一態様は、作業に利用される機械装置の形状を表す機械装置データ情報に基づいて、作業の際に機械装置が通過する三次元領域を表す仮想機械装置データ情報を生成し、および、作業の対象物の形状を表す対象物データ情報に基づいて、作業において対象物が配置される三次元領域を表す仮想対象物データ情報を生成する、仮想データ生成部と、仮想機械装置データ情報の内部に、仮想対象物データ情報が含まれるかどうかを判定する接触判定部と、を備える、機械制御システムである。
【選択図】図１
","特開2024-109006","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-109006/11/ja"
"特開2024-102086","特願2024-063818","2024/04/11","2024/07/30","ロボット操作システム及び情報処理方法","川崎重工業株式会社","B25J13/08@A,B25J13/00@A","(57)【要約】      （修正有）
【課題】操作者の判断が必要であるロボットの動作の操作を自動化し、操作可能な操作者の多様化を可能にする制御装置、ロボットシステム及び学習装置を提供する
【解決手段】ロボット（１１０）に自動運転で所定作業を実行させる制御を行う制御装置（１４０）は、第１プロセッサを備え、前記第１プロセッサは、前記所定作業の実行中、作業対象であるワーク（Ｗ）の状態を含む状態情報を取得することと、前記状態情報に基づき、前記ワークに関する作業位置の候補を決定することと、前記作業位置の候補の中から前記作業位置を選択することを要求する選択要求を、通信ネットワークを介してデータ通信可能に接続される操作端末（２１０）に送信することと、前記操作端末から、選択された前記作業位置である選択位置の情報を受信すると、前記選択位置に従って前記ロボットに自動運転で動作させることとを実行する。
【選択図】図１
","特開2024-102086","","","","","審査中","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-102086/11/ja"
"特開2024-093392","特願2022-209750","2022/12/27","2024/07/09","ロボットシステム","川崎重工業株式会社","B25J3/00@Z,B25J13/08@Z","(57)【要約】
【課題】操作者が操作部を用いて任意の操作により複数のロボットを連携して動作させて作業を行うことが可能なロボットシステムを提供する。
【解決手段】このロボットシステム１００は、ロボット１と、ロボット１と共同で作業を行うロボット２と、ロボット１および２を操作するための操作者による操作を受け付ける単一の操作部３と、単一の操作部３により受け付けた操作に基づいて、ロボット１および２を動作させる制御を行う制御部４と、を備える。
【選択図】図１
","特開2024-093392","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-093392/11/ja"
"特開2024-088612","特願2023-211868","2023/12/15","2024/07/02","エンドエフェクタ及びエンドエフェクタを含む基材処理装置","エーエスエム・アイピー・ホールディング・ベー・フェー","H01L21/68@A,B25J15/00@F","(57)【要約】
【課題】エンドエフェクタ及びエンドエフェクタを含む基材処理装置を提供する。
【解決手段】エンドエフェクタが、開示される。例示的なエンドエフェクタは、基材をその上に配置するための基材支持本体と、基材支持本体内に配置される第一の波発生装置のアレイであって、基材の裏面に表面波を発生させるように構成される第一の波発生装置のアレイとを含む。
【選択図】図１
","特開2024-088612","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-088612/11/ja"
"特開2024-076038","特願2022-187395","2022/11/24","2024/06/05","操作支援機能付き停止スイッチユニット","ＩＤＥＣ株式会社","H01H13/02@C,B25J19/06,H01H13/20@A,H01H13/62,H01H3/20@C,H01H3/28@A","(57)【要約】
【課題】ユニット全体を小型化し、消費電力を低減させる。
【解決手段】非常停止スイッチユニット２において、非常停止ボタン２１の停止操作により、接触状態にある接点２３、２４を開離操作するための操作軸２２と、操作軸２２をロックするロック状態およびロック状態を解除するロック解除状態をとり得るように操作軸２２にロック荷重を作用させるロック手段と、操作軸２２に係脱可能に作用する作動軸３１を有し、遠隔による停止操作時に作動軸３１を変位させることにより作動軸３１を操作軸２２に係合させて操作軸２２をロック手段のロック荷重に抗して作動軸３１とともに開離操作方向に変位させるための電磁ソレノイド３と、操作軸２２を接点２３、２４の開離側に付勢して、ロック手段によるロック解除後に操作軸２２を作動軸３１に対して変位させるように作用することで接点２３、２４を開離する開離付勢ばね２５１とを設ける。
【選択図】  図７
","特開2024-076038","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-076038/11/ja"
"特開2024-074834","特願2024-049308","2024/03/26","2024/05/31","ハンドリング機構を備えるロボットシステムおよびロボットシステムの操作方法","株式会社Ｍｕｊｉｎ","B25J15/08@C","(57)【要約】
【課題】オブジェクトをオブジェクト集合体から一貫した方法で正確かつ効率的に特定する。
【解決手段】グリッパーは、対象オブジェクトに関する向き読取り値を生成するように構成される方位センサと、第１の把持ブレード、および対象オブジェクトを第１の把持ブレードと連携して、第１の把持ブレードに対して対象オブジェクトの反対側の端部で固定するように構成される第２の把持ブレードと、対象オブジェクトに対する第１の把持ブレードの第１の位置読取り値を生成するように構成される、第１の把持ブレードの第１の位置センサと、対象オブジェクトに対する第２の把持ブレードの第２の位置読取り値を生成するように構成される、第２の把持ブレードの第２の位置センサと、対象オブジェクトを第１の把持ブレードおよび第２の把持ブレードで、向き読取り値の有効な向きに基づいて、かつ安定状態を示す第１の位置読取り値および第２の位置読取り値に基づいて固定するように構成されるブレードアクチュエータと、を含む。
【選択図】図１５
","特開2024-074834","","","","","審査中","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-074834/11/ja"
"特開2024-067638","特願2022-177868","2022/11/07","2024/05/17","把持機構を備えたハンド、およびこれを備えた部品供給システム","ＮＴＮ株式会社","B25J15/08@C","(57)【要約】
【課題】把持機構をロボットの先端に取り付けたままキャリブレーションを行うことができ、且つ、ワークのピックアップをしながらの修正が不要なハンド、および部品供給システムを提供する。
【解決手段】ハンド６は、ロボット４のアーム１０の先端に取り付けられてワークＷをピックアップする。ハンド６は、開閉方向に移動する把持機構２２を有している。把持機構２２は複数の爪部２４を有し、把持機構２２が閉じることでワークＷを爪部２４で把持する。爪部２４に、キャリブレーション治具３０が位置固定される切欠き２６が設けられている。
【選択図】図７Ｂ
","特開2024-067638","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-067638/11/ja"
"特開2024-044954","特願2022-164330","2022/09/21","2024/04/02","把持装置","株式会社右川ゴム製造所","B25J15/08@S,F15B15/10@H","(57)【要約】
【課題】本発明の目的は、伸長方向に伸縮可能なアクチュエータを用いた把持装置を改良し、印加圧力に対し大きな把持力を発揮する把持装置を実現することにある。
【解決手段】本発明は、把持対象物に当接して使用される把持装置であって、流体圧力の印加により伸長し、前記流体圧力の開放により収縮する、可撓性を有するアクチュエータと、長さ方向の伸長量が小さく且つ可撓性を有する当接部材とを組み合わせてなる構造の把持装置であり、把持装置の骨格部分となる当接部材を曲がりやすい波型構造にすることによって前記印加流体圧に対して大きな把持力を発揮することを特徴とする把持装置である。
【選択図】図６
","特開2024-044954","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-044954/11/ja"
